WEEK END DATE,VESSEL ID,NAME,AREA,GEAR,TARGET,HALIBUT,HERRING,RED KING CRAB,OTHER KING CRAB,BAIRDI TANNER,OTHER TANNER,CHINOOK,NON-CHINOOK,SAMPLED HAULS
1/2/16,372,U S  LIBERATOR,BSAI,HAL,Pacific Cod,1.952,0,0,0.135,0,0,0,0,6
1/2/16,1248,BARANOF,BSAI,HAL,Pacific Cod,48.535,0,0,0,0,0,0,0,6
1/2/16,1276,COURAGEOUS,BSAI,HAL,Pacific Cod,9.853,0,0,0,0,0,0,0,4
1/2/16,1622,PROWLER,BSAI,HAL,Pacific Cod,6.617,0,0,0,0.149,0.074,0,0,1
1/2/16,2090,BLUE GADUS,BSAI,HAL,Pacific Cod,0.824,0,0,0,0,0,0,0,4
1/2/16,2833,ALASKA MIST,BSAI,HAL,Pacific Cod,31.093,0,0,0,0,0.111,0,0,4
1/2/16,2872,DEEP PACIFIC,BSAI,HAL,Pacific Cod,23.551,0,0.116,0,0.427,0,0,0,3
1/2/16,3226,FARWEST LEADER,BSAI,POT,Pacific Cod,0.815,0,0,0,0.099,0,0,0,1
1/2/16,3336,OCEAN PROWLER,BSAI,HAL,Pacific Cod,6.789,0,0,0,0,0.7,0,0,2
1/2/16,3406,PAVLOF,BSAI,POT,Pacific Cod,4.612,0,0,0,0.843,0.05,0,0,6
1/2/16,4102,ALEUTIAN LADY,BSAI,POT,Pacific Cod,3.265,0,0,0,31.429,12.481,0,0,4
1/2/16,4377,BLUE ATTU,BSAI,HAL,Pacific Cod,25.545,0,0,0,0.258,0,0,0,3
1/2/16,4533,BEAUTY BAY,BSAI,HAL,Pacific Cod,29.831,0,0,0,0,0,0,0,2
1/2/16,4540,BERING PROWLER,BSAI,HAL,Pacific Cod,3.098,0,0,0,0,0,0,0,2
1/2/16,4573,BLUE BALLARD,BSAI,HAL,Pacific Cod,97.346,0,0,0,0.092,0,0,0,5
1/2/16,4578,SIBERIAN SEA,BSAI,HAL,Pacific Cod,6.58,0,0,0,0,0,0,0,2
1/2/16,4618,BLUE PACIFIC,BSAI,HAL,Pacific Cod,0.386,0,0,0,0,0.063,3,0,3
1/2/16,6323,BRISTOL LEADER,BSAI,HAL,Pacific Cod,5.963,0,0,0,0,0,0,0,1
1/2/16,29997,BERING LEADER,BSAI,HAL,Pacific Cod,8.844,0,0,0,0,0.096,0,0,1
1/2/16,31775,CYNOSURE,BSAI,POT,Pacific Cod,3.628,0,0,0,0,0,0,0,1
1/2/16,32429,ALASKAN STAR,BSAI,POT,Pacific Cod,0.477,0,0,0,0,0,0,0,2
1/2/16,32665,SAINT PETER,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,4
1/2/16,33320,NORTHERN LEADER,BSAI,HAL,Pacific Cod,6.995,0,0,0.028,0,0,0,0,2
1/2/16,33470,ARCTIC PROWLER,BSAI,HAL,Pacific Cod,7.459,0,0,0.12,0,0,0,0,1
1/2/16,33530,CERULEAN,BSAI,POT,Pacific Cod,14.45,0,0,0,0,0,0,0,1
1/2/16,34110,ORACLE,GOA,POT,Pacific Cod,0,0,0,0,0,0,0,0,4
1/9/16,146,ST DOMINICK,BSAI,POT,Pacific Cod,0.683,0,0,0,0,0,0,0,3
1/9/16,277,BILLIKIN,BSAI,POT,Pacific Cod,2.43,0,0,0,55.19,0.093,0,0,5
1/9/16,372,U S  LIBERATOR,BSAI,HAL,Pacific Cod,10.601,0,0,0.021,0,0,0,0,20
1/9/16,1248,BARANOF,BSAI,HAL,Pacific Cod,47.816,0,0,0,0,0,0,0,19
1/9/16,1276,COURAGEOUS,BSAI,HAL,Pacific Cod,27.234,0,0,0,0.031,0,0,0,13
1/9/16,1622,PROWLER,BSAI,HAL,Pacific Cod,3.922,0,0,0,0.397,0.115,0,0,9
1/9/16,1846,TERN,GOA,POT,Pacific Cod,0.981,0,0,0,1.472,0,0,0,5
1/9/16,2090,BLUE GADUS,BSAI,HAL,Pacific Cod,0.725,0,0,0,0.009,0.083,0,0,8
1/9/16,2188,SEA KING,GOA,POT,Pacific Cod,0,0,0,0,0,0,0,0,4
1/9/16,2204,MS INGRID,GOA,POT,Pacific Cod,2.38,0,0,0,1.049,0,0,0,8
1/9/16,2718,CLIPPER SURPRISE,BSAI,HAL,Pacific Cod,41.565,0,0,0,0.346,0.184,0,0,3
1/9/16,2833,ALASKA MIST,BSAI,HAL,Pacific Cod,25.7,0,0,0,0.341,0,0,0,12
1/9/16,2872,DEEP PACIFIC,BSAI,HAL,Pacific Cod,18.978,0,0.523,0,0.244,0.025,0,0,10
1/9/16,3226,FARWEST LEADER,BSAI,POT,Pacific Cod,0.386,0,0,0,2.318,0,0,0,17
1/9/16,3297,SUMNER STRAIT,GOA,POT,Pacific Cod,15.723,0,0,0,0,0,0,0,4
1/9/16,3336,OCEAN PROWLER,BSAI,HAL,Pacific Cod,2.918,0,0,0,0.007,0.389,0,0,10
1/9/16,3406,PAVLOF,BSAI,POT,Pacific Cod,1.349,0,0,0,3.201,0,0,0,6
1/9/16,3412,COMMITMENT,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,3
1/9/16,3497,ARIZONA,GOA,HAL,Pacific Cod,104.947,0,0,0,0,0,0,0,6
1/9/16,3672,FRONTIER MARINER,BSAI,HAL,Pacific Cod,12.795,0,0,0,0.566,0.566,0,0,5
1/9/16,3673,FRONTIER SPIRIT,BSAI,HAL,Pacific Cod,19.773,0,0,0,3.604,2.826,0,0,4
1/9/16,4102,ALEUTIAN LADY,BSAI,POT,Pacific Cod,2.94,0,0,0,34.478,15.014,0,0,16
1/9/16,4377,BLUE ATTU,BSAI,HAL,Pacific Cod,32.877,0,0,0,0.237,0,0,0,7
1/9/16,4450,FRONTIER EXPLORER,BSAI,HAL,Pacific Cod,49.567,0,0,0,4.747,2.943,0,0,5
1/9/16,4463,CLIPPER EPIC,BSAI,HAL,Pacific Cod,29.044,0,0.299,0,0.207,0.012,0,0,8
1/9/16,4533,BEAUTY BAY,BSAI,HAL,Pacific Cod,2.982,0,0,0,0.018,0.091,0,0,8
1/9/16,4540,BERING PROWLER,BSAI,HAL,Pacific Cod,1.11,0,0,0.214,0,0.071,0,0,3
1/9/16,4569,LILLI ANN,BSAI,HAL,Pacific Cod,29.689,0,0.209,0,0.239,0,0,0,7
1/9/16,4573,BLUE BALLARD,BSAI,HAL,Pacific Cod,79.473,0,0,0,0.166,0,0,0,14
