WEEK END DATE,VESSEL ID,NAME,AREA,GEAR,TARGET,HALIBUT,HERRING,RED KING CRAB,OTHER KING CRAB,BAIRDI TANNER,OTHER TANNER,CHINOOK,NON-CHINOOK,SAMPLED HAULS
1/2/21,278,BOUNTIFUL,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,6
1/2/21,372,U S  LIBERATOR,BSAI,HAL,Pacific Cod,1.003,0,0,0,0,2.074,0,0,2
1/2/21,3406,PAVLOF,BSAI,POT,Pacific Cod,0,0,2.194,0,5.956,24.765,0,0,2
1/2/21,4578,SIBERIAN SEA,BSAI,HAL,Pacific Cod,0,0,0,0,0,0.402,0,0,2
1/2/21,5368,OCEAN FURY,BSAI,POT,Pacific Cod,0.784,0,0,0,0,1.685,0,0,2
1/2/21,33004,VICTORY,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,1
1/2/21,34615,FV FLICKA,BSAI,HAL,Pacific Cod,0,0,0,0,0.317,0,0,0,2
1/9/21,278,BOUNTIFUL,BSAI,POT,Pacific Cod,0,0,0,0,0.06,5.857,0,0,21
1/9/21,372,U S  LIBERATOR,BSAI,HAL,Pacific Cod,1.403,0,0,0.031,0,0.739,0,0,6
1/9/21,1630,BRUIN,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,4
1/9/21,2579,ENTERPRISE,GOA,POT,Pacific Cod,0,0,0,0,0,0,0,0,2
1/9/21,3035,SEABROOKE,BSAI,POT,Pacific Cod,0,0,4.31,0,0,0,0,0,7
1/9/21,3406,PAVLOF,BSAI,POT,Pacific Cod,0,0,1.885,0,4.827,10.784,0,0,7
1/9/21,3672,FRONTIER MARINER,BSAI,HAL,Pacific Cod,27.055,0,0,0,0.119,0.262,0,0,5
1/9/21,4450,FRONTIER EXPLORER,BSAI,HAL,Pacific Cod,17.343,0,0,0,0.04,0.241,0,0,5
1/9/21,4578,SIBERIAN SEA,BSAI,HAL,Pacific Cod,1.247,0,0,0,0,0.499,0,0,7
1/9/21,4980,CONFIDENCE,BSAI,POT,Pacific Cod,0,0,2.856,0,0.697,0.211,0,0,5
1/9/21,5368,OCEAN FURY,BSAI,POT,Pacific Cod,1.011,0,0,0,7.394,20.324,0,0,5
1/9/21,7161,ALEUTIAN SABLE,BSAI,POT,Pacific Cod,0.178,0,0,0,1.366,0.124,0,0,16
1/9/21,30898,ALASKAN DREAM,GOA,POT,Pacific Cod,0,0,0,0,0.692,0,0,0,3
1/9/21,32429,ALASKAN STAR,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,1
1/9/21,32761,ANTHEM,GOA,POT,Pacific Cod,0.224,0,0,0,0.152,0,0,0,6
1/9/21,33004,VICTORY,BSAI,POT,Pacific Cod,0,0,0,0,0.257,0.141,0,0,4
1/9/21,33989,BLUE NORTH,BSAI,HAL,Pacific Cod,3.447,0,0,0,0.333,0.362,0,0,7
1/9/21,34615,FV FLICKA,BSAI,HAL,Pacific Cod,1.327,0,0,0,0.172,0,0,0,3
1/16/21,278,BOUNTIFUL,BSAI,POT,Pacific Cod,0.324,0,0,0,7.976,0.52,0,0,13
1/16/21,372,U S  LIBERATOR,BSAI,HAL,Pacific Cod,4.102,0,0,0,0.051,0,0,0,4
1/16/21,2579,ENTERPRISE,GOA,POT,Pacific Cod,0.755,0,0,0,0,0,0,0,4
1/16/21,3035,SEABROOKE,BSAI,POT,Pacific Cod,0,0,0.594,0,0,0,0,0,6
1/16/21,3406,PAVLOF,BSAI,POT,Pacific Cod,0,0,0.2,0,5.973,4.316,0,0,13
1/16/21,3412,COMMITMENT,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,5
1/16/21,3672,FRONTIER MARINER,BSAI,HAL,Pacific Cod,17.869,0,0,0,0.08,0.109,0,0,10
1/16/21,4450,FRONTIER EXPLORER,BSAI,HAL,Pacific Cod,20.6,0,0,0,0.191,0.319,0,0,7
1/16/21,4578,SIBERIAN SEA,BSAI,HAL,Pacific Cod,5.334,0,0,0.024,0.071,0.348,0,0,7
1/16/21,4598,ALASKAN LEADER,BSAI,HAL,Pacific Cod,0,0,0,0,0.092,0.15,0,0,3
1/16/21,4980,CONFIDENCE,BSAI,POT,Pacific Cod,0,0,0.736,0,0.327,0.028,0,0,7
1/16/21,7161,ALEUTIAN SABLE,BSAI,POT,Pacific Cod,0,0,0,0,3.054,0.169,0,0,16
1/16/21,30898,ALASKAN DREAM,GOA,POT,Pacific Cod,0,0,0,0,0,0,0,0,1
1/16/21,32761,ANTHEM,GOA,POT,Pacific Cod,0.206,0,0,0,0.42,0,0,0,13
1/16/21,33004,VICTORY,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,1
1/16/21,33989,BLUE NORTH,BSAI,HAL,Pacific Cod,3.707,0,0,0,0.083,1.41,0,0,12
1/16/21,34615,FV FLICKA,BSAI,HAL,Pacific Cod,1.143,0,0,0,0.278,0.031,0,0,5
1/23/21,372,U S  LIBERATOR,BSAI,HAL,Pacific Cod,3.515,0,0,0,0,0,0,0,6
1/23/21,1094,NORDIC FURY,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,0,0,3
1/23/21,1222,VIKING,BSAI,PTR,Midwater Pollock,0,318.964,0,0,0,0,0,0,4
1/23/21,1650,WESTWARD I,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,0,0,3
1/23/21,2110,CAPE HORN,BSAI,NPT,Rock Sole,13.172,0,0,0,0,0.445,0,0,7
1/23/21,2110,CAPE HORN,BSAI,NPT,Yellowfin Sole,12.135,0,0,0,3.805,0,0,0,4
1/23/21,3035,SEABROOKE,BSAI,POT,Pacific Cod,0,0,0.533,0,0,0,0,0,3
1/23/21,3369,UNIMAK,BSAI,NPT,Yellowfin Sole,7.978,0,0.461,0,0.203,0,0,0,6
1/23/21,3423,ALASKA WARRIOR,BSAI,NPT,Yellowfin Sole,3.476,0,0.483,0,0.286,0,0,0,9
1/23/21,3672,FRONTIER MARINER,BSAI,HAL,Pacific Cod,4.904,0,0,0,0.076,1.131,0,0,9
1/23/21,3673,FRONTIER SPIRIT,BSAI,HAL,Pacific Cod,21.192,0,0,0,0.052,2.178,0,0,6
1/23/21,3694,ARICA,BSAI,NPT,Bottom Pollock,13.721,0,0,0,0,0,0,0,1
1/23/21,3694,ARICA,BSAI,NPT,Rock Sole,22.216,0,0,0,1.361,0,0,0,6
1/23/21,3694,ARICA,BSAI,NPT,Yellowfin Sole,12.847,0,0,0,0,0,0,0,5
1/23/21,3819,ALASKA SPIRIT,BSAI,NPT,Yellowfin Sole,4.158,0,0.319,0,1.591,0.166,0,0,16
1/23/21,4055,AMERICAN TRIUMPH,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,0,0,1
1/23/21,4092,CONSTELLATION,BSAI,NPT,Yellowfin Sole,7.435,0,0,0,5.063,0,0,0,5
1/23/21,4194,PACIFIC PRINCE,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,0,0,5
