WEEK END DATE,VESSEL ID,NAME,AREA,GEAR,TARGET,HALIBUT,HERRING,RED KING CRAB,OTHER KING CRAB,BAIRDI TANNER,OTHER TANNER,CHINOOK,NON-CHINOOK,SAMPLED HAULS
1/5/13,372,U S  LIBERATOR,BSAI,HAL,Pacific Cod,1.533,0,0,0.03,0.023,0.084,0,0,5
1/5/13,1276,COURAGEOUS,BSAI,HAL,Pacific Cod,21.59,0,0,0,0.029,0,0,0,9
1/5/13,1622,PROWLER,BSAI,HAL,Pacific Cod,41.556,0,0,0,0.024,0.047,0,0,11
1/5/13,1632,KJEVOLJA,BSAI,HAL,Pacific Cod,52.754,0,0,0,0.126,0.115,0,0,18
1/5/13,2090,BLUE GADUS,BSAI,HAL,Pacific Cod,47.164,0,0.038,0,0.377,0.065,0,0,13
1/5/13,2872,DEEP PACIFIC,BSAI,HAL,Pacific Cod,9.478,0,0.185,0,0.157,0,0,0,9
1/5/13,3336,OCEAN PROWLER,BSAI,HAL,Pacific Cod,56.895,0,0,0,0.096,0.074,0,0,9
1/5/13,3406,PAVLOF,BSAI,POT,Pacific Cod,0.988,0,0.606,0,6.161,1.414,0,0,23
1/5/13,3673,FRONTIER SPIRIT,BSAI,HAL,Pacific Cod,92.641,0,0,0,0.732,0.732,0,0,1
1/5/13,3692,NORTH CAPE,BSAI,HAL,Pacific Cod,18.586,0,0.178,0,0.252,0,0,0,9
1/5/13,3728,EXODUS,GOA,POT,Pacific Cod,7.386,0,0,0,0,0,0,0,3
1/5/13,4102,ALEUTIAN LADY,BSAI,POT,Pacific Cod,0,0,0,0,0.626,0.358,0,0,4
1/5/13,4306,ALASKAN LADY,BSAI,HAL,Pacific Cod,4.68,0,0.749,0,0.174,0,0,0,6
1/5/13,4377,BLUE ATTU,BSAI,HAL,Pacific Cod,40.221,0,0,0,0.224,0,0,0,4
1/5/13,4450,FRONTIER EXPLORER,BSAI,HAL,Pacific Cod,40.643,0,0,0,0.599,0,0,0,1
1/5/13,4540,BERING PROWLER,BSAI,HAL,Pacific Cod,26.277,0,0,0.019,0,0.44,0,0,16
1/5/13,4569,LILLI ANN,BSAI,HAL,Pacific Cod,15.195,0,0,0,0.036,0,0,0,6
1/5/13,4578,SIBERIAN SEA,BSAI,HAL,Pacific Cod,60.815,0,0,0,0.041,0,0,0,7
1/5/13,4598,ALASKAN LEADER,BSAI,HAL,Pacific Cod,26.052,0,0,0.267,0,0,0,0,1
1/5/13,4618,BLUE PACIFIC,BSAI,HAL,Pacific Cod,40.168,0,0,0,0.094,0.016,0,0,4
1/5/13,5325,GLACIER BAY,BSAI,HAL,Pacific Cod,0,0,0,0,0,0.108,0,0,6
1/5/13,6323,BRISTOL LEADER,BSAI,HAL,Pacific Cod,47.716,0,0,0,0,0.09,0,0,5
1/5/13,29997,BERING LEADER,BSAI,HAL,Pacific Cod,21.549,0,0,0,0.022,1.222,0,0,10
1/12/13,146,ST DOMINICK,BSAI,POT,Pacific Cod,2.009,0,0,0,0,0,0,0,12
1/12/13,248,FAMILY PRIDE,GOA,POT,Pacific Cod,1.494,0,0,0,0.482,0,0,0,11
1/12/13,278,BOUNTIFUL,BSAI,POT,Pacific Cod,0.225,0,0,0,2.815,0.707,0,0,13
1/12/13,372,U S  LIBERATOR,BSAI,HAL,Pacific Cod,12.499,0,0,0,0.12,0.67,0,0,2
1/12/13,495,ALEUTIAN MARINER,BSAI,POT,Pacific Cod,0.088,0,0,0,8.78,0.466,0,0,4
